Data;IBOVam;POUPam;IBOVamAcc;POUPamAcc
2009.08;3,15;0,52;9165842,057;1632248,838
2009.09;8,9;0,5;9981602;1640410,082
2009.10;0,05;0,5;9986592,801;1648612,132
2009.11;8,93;0,5;10878395,54;1656855,193
2009.12;2,3;0,55;11128598,64;1665967,896
2010.01;-4,65;0,5;10611118,8;1674297,736
2010.02;1,68;0,5;10789385,6;1682669,225
2010.03;5,82;0,5796;11417327,84;1692421,975
2010.04;-4,04;0,5;10956067,79;1700884,085
2010.05;-6,64;0,5513;10228584,89;1710261,059
2010.06;-3,34;0,5592;9886950,156;1719824,839
2010.07;10,8;0,6157;10954740,77;1730413,801
2010.08;-3,51;0,5914;10570229,37;1740647,468
2010.09;6,58;0,5706;11265750,46;1750579,602
2010.10;1,79;0,5474;11467407,4;1760162,275
2010.11;-4,2;0,5338;10985776,29;1769558,021
2010.12;2,36;0,6413;11245040,61;1780906,197
2011.01;-3,94;0,5719;10801986,01;1791091,199
2011.02;1,22;0,5527;10933770,24;1800990,561
2011.03;1,79;0,6218;11129484,72;1812189,12
2011.04;-3,58;0,5371;10731049,17;1821922,388
2011.05;-2,29;0,6578;10485308,14;1833906,993
2011.06;-3,43;0,612;10125662,08;1845130,504
2011.07;-5,74;0,6235;9544449,072;1856634,893
2011.08;-3,96;0,7086;9166488,889;1869791,007
2011.09;-7,38;0,6008;8490002,009;1881024,712
2011.10;11,49;0,5623;9465503,239;1891601,714
2011.11;-2,51;0,5648;9227919,108;1902285,48
2011.12;-0,21;0,5942;9208540,478;1913588,861
2012.01;11,13;0,5868;10233451,03;1924817,8
2012.02;4,34;0,5;10677582,81;1934441,889
2012.03;-1,98;0,6073;10466166,67;1946189,755
2012.04;-4,17;0,5228;10029727,52;1956364,435
2012.05;-11,86;0,547;8840201,835;1967065,748
2012.06;-0,25;0,5;8818101,33;1976901,077
2012.07;3,21;0,5145;9101162,383;1987072,233
2012.08;1,72;0,5124;9257702,376;1997253,991
2012.09;3,7;0,5;9600237,364;2007240,261
2012.10;-3,56;0,5;9258468,914;2017276,462
2012.11;0,71;0,5;9324204,043;2027362,844
2012.12;6,05;0,5;9888318,387;2037499,659
2013.01;-1,95;0,5;9695496,179;2047687,157
2013.02;-3,91;0,5;9316402,278;2057925,593
2013.03;-1,87;0,5;9142185,556;2068215,221
2013.04;-0,78;0,5;9070876,508;2078556,297
2013.05;-4,3;0,5;8680828,818;2088949,078
2013.06;-11,31;0,5;7699027,079;2099393,824
2013.07;1,64;0,521;7825291,123;2110331,666
2013.08;3,68;0,5;8113261,837;2120883,324
2013.09;4,65;0,5079;8490528,512;2131655,29
2013.10;3,66;0,5925;8801281,855;2144285,348
2013.11;-3,27;0,5208;8513479,939;2155452,786
2013.12;-1,86;0,5496;8355129,212;2167299,154
2014.01;-7,51;0,6132;7727659,008;2180589,033
2014.02;-1,14;0,554;7639563,695;2192669,496
2014.03;7,05;0,5267;8178152,936;2204218,286
2014.04;2,4;0,5461;8374428,606;2216255,522
2014.05;-0,75;0,5607;8311620,392;2228682,067
2014.06;3,76;0,5467;8624137,319;2240866,272
2014.07;5;0,6059;9055344,185;2254443,681
2014.08;9,78;0,5605;9940956,846;2267079,838
2014.09;-11,7;0,5877;8777864,895;2280403,466
2014.10;0,95;0,6043;8861254,611;2294183,944
2014.11;0,18;0,5485;8877204,87;2306767,543
2014.12;-8,62;0,6058;8111989,81;2320741,941
2015.01;-6,2;0,5882;7609046,442;2334392,545
2015.02;9,97;0,5169;8367668,372;2346459,02
2015.03;-0,84;0,6302;8297379,958;2361246,405
2015.04;9,93;0,6079;9121309,787;2375600,421
2015.05;-6,17;0,6159;8558524,973;2390231,744
2015.06;0,61;0,6822;8610731,976;2406537,905
2015.07;-4,17;0,7317;8251664,452;2424146,543
2015.08;-8,33;0,6876;7564300,804;2440814,975
2015.09;-3,36;0,693;7310140,297;2457729,823
2015.10;1,8;0,6799;7441722,822;2474439,928
2015.11;-1,63;0,6303;7320422,74;2490036,323
2015.12;-3,93;0,7261;7032730,126;2508116,476
2016.01;-6,79;0,6327;6555207,751;2523985,329
2016.02;5,91;0,5962;6942620,529;2539033,33
